client_id;action;timestamp
16e0d06076ee7d30eb18671b370d108e-1;ViewingRessource;2017-03-31 05:32:59+02:00
1e42b99c32bd7d85b556e0bd10506f8d-1;ViewingRessource;2017-03-31 06:04:02+02:00
262901cb07f33979c2b824f1bb156ae8-1;ViewingRessource;2017-03-31 07:55:24+02:00
2d88b323c9b585af9b86d0b378b16d13-1;ViewingRessource;2017-03-31 05:32:55+02:00
2e6e0b249a00c84f068e0d4661818b9e-1;ViewingRessource;2017-03-31 06:47:38+02:00
3219d2ffc9cf46930b2256bcc194ac4f-1;ViewingRessource;2017-03-31 07:51:12+02:00
336b47fb363da42d534226f2e2f649f8-1;ViewingRessource;2017-03-31 05:45:21+02:00
33f6ef1ef5ab08bb0997def6b660079c-1;ViewingRessource;2017-03-31 05:40:29+02:00
37033ecb19d33b3e1186323f725ece37-1;ViewingRessource;2017-03-31 05:17:23+02:00
41d00b0117a76939624d327b17a9c363-1;ViewingRessource;2017-03-31 05:49:03+02:00
4708480e5f053e9807a10f59320c1109-1;ViewingRessource;2017-03-31 07:55:37+02:00
47aa6e6e3a5f4b547d33c4a5911c3947-1;ViewingRessource;2017-03-31 06:43:08+02:00
4c1ffded278193d1e1a3434f536940fc-1;ViewingRessource;2017-03-31 06:14:09+02:00
4cf32a7d525de535948e376c52eb2e25-1;ViewingRessource;2017-03-31 07:38:38+02:00
5934718e56cc552994f1bcf7d166136a-1;ViewingRessource;2017-03-31 07:37:37+02:00
5f7e06f5c3b77988e6c48b7cb53b289f-1;ViewingRessource;2017-03-31 07:26:08+02:00
639b3ff40722c4f3ea7f892fbcb49b96-1;ViewingRessource;2017-03-31 06:44:24+02:00
6ae66068a6a3bb11dd3bc127f5aa8896-1;ViewingRessource;2017-03-31 06:00:19+02:00
72e7e59a6d78a2d8029c5745bd5ad66c-1;ViewingRessource;2017-03-31 07:36:40+02:00
7365c06c7d40f70205dd50776c0a8278-1;ViewingRessource;2017-03-31 06:23:22+02:00
79425edda6f66ee699fa0a82df7ef281-1;ViewingRessource;2017-03-31 05:34:57+02:00
7b6ec0f56c4302bb564ed96682b0ddcd-1;ViewingRessource;2017-03-31 06:29:18+02:00
888dd52904e6dcd13c7f2edc2d4fd7e0-1;ViewingRessource;2017-03-31 07:02:03+02:00
8c404cee58e02f3e4081d18c647a595c-1;ViewingRessource;2017-03-31 07:14:18+02:00
94d6831d501e32f3ceee0077f9b103b1-1;ViewingRessource;2017-03-31 06:29:50+02:00
9afa64f8e2a6820d4fd001727c079dc7-1;ViewingRessource;2017-03-31 05:49:03+02:00
9c902b8f8dea50150e429eed34e1d606-1;ViewingRessource;2017-03-31 05:29:09+02:00
9da49115be65cd730d1c5446735d02a6-1;ViewingRessource;2017-03-31 07:53:13+02:00
9df3647a798d4287d45e34aa0ce4f35b-1;ViewingRessource;2017-03-31 06:39:01+02:00
9f1fcfb9898717f9842b94731c375673-1;ViewingRessource;2017-03-31 05:41:56+02:00
9f9e688c90c96af31b65850b6c873228-1;ViewingRessource;2017-03-31 07:49:03+02:00
a1a6f918d17fddb90a47aa2cb724915a-1;ViewingRessource;2017-03-31 05:27:49+02:00
a73c2c4371f5084c13c07764d31431b4-1;ViewingRessource;2017-03-31 06:44:50+02:00
a743c376659a450847372e9c77f2952d-1;ViewingRessource;2017-03-31 06:15:27+02:00
ac43b020f386ef09b7a54e4d1321b034-1;ViewingRessource;2017-03-31 07:58:17+02:00
af82ea3f8d38ecd8bbd31fe539b15eb8-1;ViewingRessource;2017-03-31 06:29:20+02:00
bb1f9782d1ada5d1d08b4efa07201fc8-1;ViewingRessource;2017-03-31 05:54:54+02:00
be7962fa2b8e1ed800d6244112384dc9-1;ViewingRessource;2017-03-31 07:15:18+02:00
c415587d94282d782d4ef0ef4530c4a8-1;ViewingRessource;2017-03-31 05:42:04+02:00
c4e812aa92512043c740eaf6f9160cbd-1;ViewingRessource;2017-03-31 07:14:02+02:00
c6cca684bea1e6f0e955e29ba2031de8-1;ViewingRessource;2017-03-31 06:42:30+02:00
c8012fac6fc5ad9c12c38fec0e1aee72-1;ViewingRessource;2017-03-31 05:37:43+02:00
c8fc7bbaa187df3a7f0988d4868a449b-1;ViewingRessource;2017-03-31 07:45:41+02:00
cae51574db72fd3f95a8a79a4f9bb6a1-1;ViewingRessource;2017-03-31 07:56:29+02:00
dbde22a11bf9283c0dce0dc1238515b9-1;ViewingRessource;2017-03-31 06:12:06+02:00
dd34ba192b6da826fc8c4c6f059be48-1;ViewingRessource;2017-03-31 07:31:22+02:00
e8abcdff272b24fa6fb7c33a7f03315c-1;ViewingRessource;2017-03-31 05:58:50+02:00
ecb34f0a46a460410f3290c983b9573f-1;ViewingRessource;2017-03-31 07:53:54+02:00
fea87d2d717c96a85bf5d62680efe1ad-1;ViewingRessource;2017-03-31 07:13:52+02:00
ff506e36e1385e8607d34532984b7d02-1;ViewingRessource;2017-03-31 05:20:10+02:00
